question_id,scene_id,image_path,question_type,question,choice_a,choice_b,choice_c,choice_d,answer_label,difficulty,visibility,layout_family,ood_axis,trace_dominant_particle_family,trace_hotspot_quadrant,trace_fiber_tint,trace_bead_count,trace_bead_count_bin,trace_clogging_state,trace_qc_action,trace_density_index
mpq_73c28fb94d9ab3,mem_scene_00002,images/mem_scene_00002.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,A,easy,clear,hotspot_upper_left,standard,beads,upper_left,blue,6,0-12,open pores,count now,76
mpq_d9b7ea5e45f86f,mem_scene_00002,images/mem_scene_00002.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,clear,hotspot_upper_left,standard,beads,upper_left,blue,6,0-12,open pores,count now,76
mpq_f945aabdac5fad,mem_scene_00002,images/mem_scene_00002.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,clear,hotspot_upper_left,standard,beads,upper_left,blue,6,0-12,open pores,count now,76
mpq_460cd3f2e30b95,mem_scene_00002,images/mem_scene_00002.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,clear,hotspot_upper_left,standard,beads,upper_left,blue,6,0-12,open pores,count now,76
mpq_b7672726946cf9,mem_scene_00002,images/mem_scene_00002.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,easy,clear,hotspot_upper_left,standard,beads,upper_left,blue,6,0-12,open pores,count now,76
mpq_1f5a096116570e,mem_scene_00003,images/mem_scene_00003.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,D,medium,clear,hotspot_upper_left,standard,films,upper_left,blue,7,0-12,open pores,count now,90
mpq_d7664b7f791eab,mem_scene_00003,images/mem_scene_00003.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,A,medium,clear,hotspot_upper_left,standard,films,upper_left,blue,7,0-12,open pores,count now,90
mpq_29c12c9b652cc2,mem_scene_00003,images/mem_scene_00003.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,medium,clear,hotspot_upper_left,standard,films,upper_left,blue,7,0-12,open pores,count now,90
mpq_7dabc12427f6d9,mem_scene_00003,images/mem_scene_00003.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,medium,clear,hotspot_upper_left,standard,films,upper_left,blue,7,0-12,open pores,count now,90
mpq_7dfe48e41bb060,mem_scene_00003,images/mem_scene_00003.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,medium,clear,hotspot_upper_left,standard,films,upper_left,blue,7,0-12,open pores,count now,90
mpq_38ce6d0207ee97,mem_scene_00003,images/mem_scene_00003.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,medium,clear,hotspot_upper_left,standard,films,upper_left,blue,7,0-12,open pores,count now,90
mpq_e11d9e7213b5d2,mem_scene_00004,images/mem_scene_00004.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,A,easy,clear,hotspot_upper_right,standard,fibers,upper_right,blue,4,0-12,open pores,count now,74
mpq_648f10176a6a5c,mem_scene_00004,images/mem_scene_00004.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,B,easy,clear,hotspot_upper_right,standard,fibers,upper_right,blue,4,0-12,open pores,count now,74
mpq_c2c3cb860f1a86,mem_scene_00004,images/mem_scene_00004.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,clear,hotspot_upper_right,standard,fibers,upper_right,blue,4,0-12,open pores,count now,74
mpq_41fbf1f721e772,mem_scene_00004,images/mem_scene_00004.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,clear,hotspot_upper_right,standard,fibers,upper_right,blue,4,0-12,open pores,count now,74
mpq_fcb4d09ffdd842,mem_scene_00004,images/mem_scene_00004.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,clear,hotspot_upper_right,standard,fibers,upper_right,blue,4,0-12,open pores,count now,74
mpq_248e4c93df3e2a,mem_scene_00004,images/mem_scene_00004.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,easy,clear,hotspot_upper_right,standard,fibers,upper_right,blue,4,0-12,open pores,count now,74
mpq_99b9341e39059f,mem_scene_00005,images/mem_scene_00005.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,B,easy,clear,hotspot_upper_right,standard,fragments,upper_right,blue,5,0-12,open pores,count now,88
mpq_6db66941ed313c,mem_scene_00005,images/mem_scene_00005.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,B,easy,clear,hotspot_upper_right,standard,fragments,upper_right,blue,5,0-12,open pores,count now,88
mpq_a34fe325d0c987,mem_scene_00005,images/mem_scene_00005.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,clear,hotspot_upper_right,standard,fragments,upper_right,blue,5,0-12,open pores,count now,88
mpq_07fbd0a8838f75,mem_scene_00005,images/mem_scene_00005.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,clear,hotspot_upper_right,standard,fragments,upper_right,blue,5,0-12,open pores,count now,88
mpq_fcf45deea3218f,mem_scene_00005,images/mem_scene_00005.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,clear,hotspot_upper_right,standard,fragments,upper_right,blue,5,0-12,open pores,count now,88
mpq_c11ed87b5adb2a,mem_scene_00005,images/mem_scene_00005.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,easy,clear,hotspot_upper_right,standard,fragments,upper_right,blue,5,0-12,open pores,count now,88
mpq_cb0383b3bd4299,mem_scene_00006,images/mem_scene_00006.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,C,easy,clear,hotspot_upper_right,standard,beads,upper_right,blue,7,0-12,open pores,count now,80
mpq_acbfcf916f97d1,mem_scene_00006,images/mem_scene_00006.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,B,easy,clear,hotspot_upper_right,standard,beads,upper_right,blue,7,0-12,open pores,count now,80
mpq_7a18ffe83aba18,mem_scene_00006,images/mem_scene_00006.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,clear,hotspot_upper_right,standard,beads,upper_right,blue,7,0-12,open pores,count now,80
mpq_608996c1fe5479,mem_scene_00006,images/mem_scene_00006.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,clear,hotspot_upper_right,standard,beads,upper_right,blue,7,0-12,open pores,count now,80
mpq_5d90ca55277a41,mem_scene_00006,images/mem_scene_00006.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,clear,hotspot_upper_right,standard,beads,upper_right,blue,7,0-12,open pores,count now,80
mpq_d7739cfa54dffb,mem_scene_00006,images/mem_scene_00006.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,easy,clear,hotspot_upper_right,standard,beads,upper_right,blue,7,0-12,open pores,count now,80
mpq_27518a1a0b7b98,mem_scene_00007,images/mem_scene_00007.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,D,medium,glare,hotspot_upper_right,standard,films,upper_right,blue,4,0-12,open pores,reimage focus,87
mpq_76b156c7f9066f,mem_scene_00007,images/mem_scene_00007.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,B,medium,glare,hotspot_upper_right,standard,films,upper_right,blue,4,0-12,open pores,reimage focus,87
mpq_7d6938d99fcc3e,mem_scene_00007,images/mem_scene_00007.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,medium,glare,hotspot_upper_right,standard,films,upper_right,blue,4,0-12,open pores,reimage focus,87
mpq_13d4f931c0ab3f,mem_scene_00007,images/mem_scene_00007.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,medium,glare,hotspot_upper_right,standard,films,upper_right,blue,4,0-12,open pores,reimage focus,87
mpq_ba2103d317b80f,mem_scene_00007,images/mem_scene_00007.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,medium,glare,hotspot_upper_right,standard,films,upper_right,blue,4,0-12,open pores,reimage focus,87
mpq_01aa36204deefb,mem_scene_00007,images/mem_scene_00007.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,medium,glare,hotspot_upper_right,standard,films,upper_right,blue,4,0-12,open pores,reimage focus,87
mpq_36afc65bd307cc,mem_scene_00008,images/mem_scene_00008.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,A,easy,glare,hotspot_lower_left,standard,fibers,lower_left,blue,6,0-12,open pores,reimage focus,76
mpq_664c88a2d7e739,mem_scene_00008,images/mem_scene_00008.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,C,easy,glare,hotspot_lower_left,standard,fibers,lower_left,blue,6,0-12,open pores,reimage focus,76
mpq_3c03479c8316ab,mem_scene_00008,images/mem_scene_00008.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,glare,hotspot_lower_left,standard,fibers,lower_left,blue,6,0-12,open pores,reimage focus,76
mpq_333fd5223b1bce,mem_scene_00008,images/mem_scene_00008.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,glare,hotspot_lower_left,standard,fibers,lower_left,blue,6,0-12,open pores,reimage focus,76
mpq_4e0be228a96232,mem_scene_00008,images/mem_scene_00008.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,glare,hotspot_lower_left,standard,fibers,lower_left,blue,6,0-12,open pores,reimage focus,76
mpq_43b5d0cce9bd17,mem_scene_00008,images/mem_scene_00008.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,easy,glare,hotspot_lower_left,standard,fibers,lower_left,blue,6,0-12,open pores,reimage focus,76
mpq_380704d9f015d1,mem_scene_00009,images/mem_scene_00009.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,B,easy,glare,hotspot_lower_left,standard,fragments,lower_left,blue,6,0-12,open pores,reimage focus,89
mpq_f947f171ebebd3,mem_scene_00009,images/mem_scene_00009.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,C,easy,glare,hotspot_lower_left,standard,fragments,lower_left,blue,6,0-12,open pores,reimage focus,89
mpq_39d27855b8e902,mem_scene_00009,images/mem_scene_00009.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,glare,hotspot_lower_left,standard,fragments,lower_left,blue,6,0-12,open pores,reimage focus,89
mpq_7bd2027b8b7142,mem_scene_00009,images/mem_scene_00009.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,glare,hotspot_lower_left,standard,fragments,lower_left,blue,6,0-12,open pores,reimage focus,89
mpq_b015fb1591487f,mem_scene_00009,images/mem_scene_00009.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,glare,hotspot_lower_left,standard,fragments,lower_left,blue,6,0-12,open pores,reimage focus,89
mpq_a7108331515ddb,mem_scene_00009,images/mem_scene_00009.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,easy,glare,hotspot_lower_left,standard,fragments,lower_left,blue,6,0-12,open pores,reimage focus,89
mpq_14445a11cd0293,mem_scene_00010,images/mem_scene_00010.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,C,medium,low_contrast,hotspot_lower_left,blue_stain,beads,lower_left,blue,4,0-12,open pores,reimage focus,76
mpq_4cd5a2cecd6000,mem_scene_00010,images/mem_scene_00010.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,C,medium,low_contrast,hotspot_lower_left,blue_stain,beads,lower_left,blue,4,0-12,open pores,reimage focus,76
mpq_cf9f0d02d76147,mem_scene_00010,images/mem_scene_00010.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,medium,low_contrast,hotspot_lower_left,blue_stain,beads,lower_left,blue,4,0-12,open pores,reimage focus,76
mpq_3a5c48de84457f,mem_scene_00010,images/mem_scene_00010.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,medium,low_contrast,hotspot_lower_left,blue_stain,beads,lower_left,blue,4,0-12,open pores,reimage focus,76
mpq_75f1393234efd5,mem_scene_00010,images/mem_scene_00010.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,medium,low_contrast,hotspot_lower_left,blue_stain,beads,lower_left,blue,4,0-12,open pores,reimage focus,76
mpq_0211ae3a34841b,mem_scene_00010,images/mem_scene_00010.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,medium,low_contrast,hotspot_lower_left,blue_stain,beads,lower_left,blue,4,0-12,open pores,reimage focus,76
mpq_5d135c0e65553f,mem_scene_00011,images/mem_scene_00011.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,D,easy,low_contrast,hotspot_lower_left,standard,films,lower_left,blue,7,0-12,light edge clogging,reimage focus,90
mpq_65288b16a3aa2f,mem_scene_00011,images/mem_scene_00011.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,C,easy,low_contrast,hotspot_lower_left,standard,films,lower_left,blue,7,0-12,light edge clogging,reimage focus,90
mpq_27b2a1bebb0ec3,mem_scene_00011,images/mem_scene_00011.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,low_contrast,hotspot_lower_left,standard,films,lower_left,blue,7,0-12,light edge clogging,reimage focus,90
mpq_7414df84e7f1fe,mem_scene_00011,images/mem_scene_00011.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,low_contrast,hotspot_lower_left,standard,films,lower_left,blue,7,0-12,light edge clogging,reimage focus,90
mpq_12ad1dac8ef25e,mem_scene_00011,images/mem_scene_00011.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,B,easy,low_contrast,hotspot_lower_left,standard,films,lower_left,blue,7,0-12,light edge clogging,reimage focus,90
mpq_ac446d93297033,mem_scene_00011,images/mem_scene_00011.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,easy,low_contrast,hotspot_lower_left,standard,films,lower_left,blue,7,0-12,light edge clogging,reimage focus,90
mpq_ec7a5bde9a7a32,mem_scene_00012,images/mem_scene_00012.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,A,medium,low_contrast,hotspot_lower_right,standard,fibers,lower_right,blue,4,0-12,light edge clogging,reimage focus,74
mpq_4ae9fde3cdf74e,mem_scene_00012,images/mem_scene_00012.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,D,medium,low_contrast,hotspot_lower_right,standard,fibers,lower_right,blue,4,0-12,light edge clogging,reimage focus,74
mpq_12ee22f8f7a91d,mem_scene_00012,images/mem_scene_00012.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,medium,low_contrast,hotspot_lower_right,standard,fibers,lower_right,blue,4,0-12,light edge clogging,reimage focus,74
mpq_dd698fce4d0218,mem_scene_00012,images/mem_scene_00012.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,medium,low_contrast,hotspot_lower_right,standard,fibers,lower_right,blue,4,0-12,light edge clogging,reimage focus,74
mpq_b9aa5c65a5ed13,mem_scene_00012,images/mem_scene_00012.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,B,medium,low_contrast,hotspot_lower_right,standard,fibers,lower_right,blue,4,0-12,light edge clogging,reimage focus,74
mpq_88c6cd65b93db3,mem_scene_00012,images/mem_scene_00012.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,medium,low_contrast,hotspot_lower_right,standard,fibers,lower_right,blue,4,0-12,light edge clogging,reimage focus,74
mpq_c3d1892aaa5d79,mem_scene_00013,images/mem_scene_00013.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,B,easy,glare,hotspot_lower_right,standard,fragments,lower_right,blue,6,0-12,light edge clogging,reimage focus,89
mpq_0e3f89c6d681e2,mem_scene_00013,images/mem_scene_00013.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,D,easy,glare,hotspot_lower_right,standard,fragments,lower_right,blue,6,0-12,light edge clogging,reimage focus,89
mpq_689efd177f97c6,mem_scene_00013,images/mem_scene_00013.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,glare,hotspot_lower_right,standard,fragments,lower_right,blue,6,0-12,light edge clogging,reimage focus,89
mpq_f9318236563f31,mem_scene_00013,images/mem_scene_00013.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,glare,hotspot_lower_right,standard,fragments,lower_right,blue,6,0-12,light edge clogging,reimage focus,89
mpq_221d0534518bcd,mem_scene_00013,images/mem_scene_00013.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,B,easy,glare,hotspot_lower_right,standard,fragments,lower_right,blue,6,0-12,light edge clogging,reimage focus,89
mpq_e33908d8395af8,mem_scene_00013,images/mem_scene_00013.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,B,easy,glare,hotspot_lower_right,standard,fragments,lower_right,blue,6,0-12,light edge clogging,reimage focus,89
mpq_01d4fb65662782,mem_scene_00014,images/mem_scene_00014.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,C,easy,overloaded,hotspot_lower_right,standard,beads,lower_right,blue,5,0-12,light edge clogging,dilute and refilter,98
mpq_601b8992174d6a,mem_scene_00014,images/mem_scene_00014.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,D,easy,overloaded,hotspot_lower_right,standard,beads,lower_right,blue,5,0-12,light edge clogging,dilute and refilter,98
mpq_490704d918c4ea,mem_scene_00014,images/mem_scene_00014.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,overloaded,hotspot_lower_right,standard,beads,lower_right,blue,5,0-12,light edge clogging,dilute and refilter,98
mpq_1abb63749209c8,mem_scene_00014,images/mem_scene_00014.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,overloaded,hotspot_lower_right,standard,beads,lower_right,blue,5,0-12,light edge clogging,dilute and refilter,98
mpq_62c8ba5eb7e062,mem_scene_00014,images/mem_scene_00014.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,B,easy,overloaded,hotspot_lower_right,standard,beads,lower_right,blue,5,0-12,light edge clogging,dilute and refilter,98
mpq_51432b9d2ce57c,mem_scene_00014,images/mem_scene_00014.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,C,easy,overloaded,hotspot_lower_right,standard,beads,lower_right,blue,5,0-12,light edge clogging,dilute and refilter,98
mpq_b48700be236314,mem_scene_00015,images/mem_scene_00015.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,D,medium,clear,hotspot_lower_right,standard,films,lower_right,blue,5,0-12,light edge clogging,count now,88
mpq_c08bc9535d164d,mem_scene_00015,images/mem_scene_00015.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,D,medium,clear,hotspot_lower_right,standard,films,lower_right,blue,5,0-12,light edge clogging,count now,88
mpq_66bb28579cb392,mem_scene_00015,images/mem_scene_00015.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,medium,clear,hotspot_lower_right,standard,films,lower_right,blue,5,0-12,light edge clogging,count now,88
mpq_06d40a3a95fead,mem_scene_00015,images/mem_scene_00015.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,medium,clear,hotspot_lower_right,standard,films,lower_right,blue,5,0-12,light edge clogging,count now,88
mpq_4b45277c2876db,mem_scene_00015,images/mem_scene_00015.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,B,medium,clear,hotspot_lower_right,standard,films,lower_right,blue,5,0-12,light edge clogging,count now,88
mpq_5657ea49c24aad,mem_scene_00015,images/mem_scene_00015.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,medium,clear,hotspot_lower_right,standard,films,lower_right,blue,5,0-12,light edge clogging,count now,88
mpq_ee95b2aa51c9ee,mem_scene_00016,images/mem_scene_00016.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,A,hard,overloaded,hotspot_upper_left,standard,fibers,upper_left,red,7,0-12,light edge clogging,dilute and refilter,95
mpq_7beb1417654ac0,mem_scene_00016,images/mem_scene_00016.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,A,hard,overloaded,hotspot_upper_left,standard,fibers,upper_left,red,7,0-12,light edge clogging,dilute and refilter,95
mpq_a7bca9d211162e,mem_scene_00016,images/mem_scene_00016.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,B,hard,overloaded,hotspot_upper_left,standard,fibers,upper_left,red,7,0-12,light edge clogging,dilute and refilter,95
mpq_4424a97bbbc752,mem_scene_00016,images/mem_scene_00016.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,hard,overloaded,hotspot_upper_left,standard,fibers,upper_left,red,7,0-12,light edge clogging,dilute and refilter,95
mpq_8fc09e33c94bd1,mem_scene_00016,images/mem_scene_00016.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,B,hard,overloaded,hotspot_upper_left,standard,fibers,upper_left,red,7,0-12,light edge clogging,dilute and refilter,95
mpq_06bf03b3e30ace,mem_scene_00016,images/mem_scene_00016.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,C,hard,overloaded,hotspot_upper_left,standard,fibers,upper_left,red,7,0-12,light edge clogging,dilute and refilter,95
mpq_17d7c8ba6dfa8a,mem_scene_00017,images/mem_scene_00017.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,B,medium,overloaded,hotspot_upper_left,standard,fragments,upper_left,red,6,0-12,light edge clogging,dilute and refilter,110
mpq_a7f4ccb988cbe3,mem_scene_00017,images/mem_scene_00017.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,A,medium,overloaded,hotspot_upper_left,standard,fragments,upper_left,red,6,0-12,light edge clogging,dilute and refilter,110
